"uri","name","minValue","maxValue","lwrBound","uprBound"
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_tartrique_hplc-dad-refractometrie_gl","mout_acide_tartrique_gL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_trans-coutarique_hplc-dad_mgl","mout_acide_trans-coutarique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_trans-coutarique_hplc-dad_microm","mout_acide_trans-coutarique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_fructose_hplc-dad-refractometrie_gl","mout_fructose_gL",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_fructose_hplc-dad-refractometrie_mm","mout_fructose_mM",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_glucose_hplc-dad-refractometrie_gl","mout_glucose_gL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_glucose_hplc-dad-refractometrie_mm","mout_glucose_mM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_glutathion_mgl","mout_glutathion_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_indice_de_clarte_l_analyse_spectrophotometrique","mout_indice_clarte",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_indice_de_jaune_b_analyse_spectrophotometrique","mout_indice_jaune",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_indice_de_rouge_a_analyse_spectrophotometrique","mout_indice_rouge",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_intensite_colorante_modifiee_analyse_spectrophotometrique","mout_intensite_colorante",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_ipt","Mout_IPT",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_nuance","Mout_Nuance",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_ph","mout_pH",0,14,NA,NA
