uri,rdf_type,rdf_type_name,name,synonyms,code,production_year,description,species,species_name,variety,variety_name,accession,accession_name,institute,website,CodeTRUEL-VASSAL,CodeVIVC,CodeGO2,Pere,NumAgrementOfficiel,Mere
"http://sinfonia.vignevin.com/id/germplasm/variety.fer_n",vocabulary:Variety,Variété,"FER N",,353,,GO2-2165,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/fer",353,,2165,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_f05",vocabulary:Variety,Variété,3563-P245-F05,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,3408-F10-PL2,,"VERMENTINO B"
"http://sinfonia.vignevin.com/id/germplasm/variety.aledo_b",vocabulary:Variety,Variété,"ALEDO B",,1477,,GO2-901,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/aledo",1477,,901,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet_franc_n_cl327",vocabulary:Accession,Accession,"CABERNET FRANC N Cl327",,327,,GO2-110102381,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.cabernet_franc_n","CABERNET FRANC N",,,,,,,110102381,,327,
"http://sinfonia.vignevin.com/id/germplasm/variety.lledoner_pelut_n",vocabulary:Variety,Variété,"LLEDONER PELUT N",,38,,GO2-1245,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/Lledoner%20pelut",38,,1245,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.nebbiolo_n",vocabulary:Variety,Variété,"NEBBIOLO N",,1240,,GO2-2655,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/nebbiolo",1240,,2655,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.trousseau_gris_g",vocabulary:Variety,Variété,"TROUSSEAU GRIS G","Chauché gris",457,,GO2-2454,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/trousseau%20gris",457,,2454,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl274",vocabulary:Accession,Accession,"CARIGNAN N Cl274",,274,,GO2-113500851,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.carignan_n","CARIGNAN N",,,,,,,113500851,,274,
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p260_d06",vocabulary:Variety,Variété,3565-P260-D06,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"CINSAUT N",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/accession.muscat_a_petits_grains_blancs_b_cl825",vocabulary:Accession,Accession,"MUSCAT A PETITS GRAINS BLANCS B Cl825",,825,,GO2-145308031,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.muscat_a_petits_grains_blancs_b","MUSCAT A PETITS GRAINS BLANCS B",,,,,,,145308031,,825,
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c04",vocabulary:Variety,Variété,3563-P244-C04,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,3408-F10-PL2,,"VERMENTINO B"
"http://sinfonia.vignevin.com/id/germplasm/accession.vermentino_b_cl964",vocabulary:Accession,Accession,"VERMENTINO B Cl964",,964,,GO2-247500711,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.vermentino_b","VERMENTINO B",,,,,,,247500711,,964,
"http://sinfonia.vignevin.com/id/germplasm/variety.raisaine_b",vocabulary:Variety,Variété,"RAISAINE B",,140,,GO2-2721,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,,140,,2721,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_e02",vocabulary:Variety,Variété,3565-P257-E02,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"CINSAUT N",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/variety.mayorquin_b",vocabulary:Variety,Variété,"MAYORQUIN B",FARANAH,1900,,GO2-2603,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/mayorquin",1900,,2603,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.chardonnay_rose_rs",vocabulary:Variety,Variété,"CHARDONNAY ROSE RS",,201,,GO2-1140,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,,201,,1140,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl275",vocabulary:Accession,Accession,"CARIGNAN N Cl275",,275,,GO2-113500861,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.carignan_n","CARIGNAN N",,,,,,,113500861,,275,
"http://sinfonia.vignevin.com/id/germplasm/accession.semebat_n_cl746",vocabulary:Accession,Accession,"SEMEBAT N Cl746",,746,,GO2-169900011,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.semebat_n","SEMEBAT N",,,,,,,169900011,,746,
"http://sinfonia.vignevin.com/id/germplasm/accession.alvarinho_b_cl1143",vocabulary:Accession,Accession,"ALVARINHO B Cl1143",,1143,,GO2-303700051,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.alvarinho_b","ALVARINHO B",,,,,,,303700051,,1143,
