"uri","rdf_type","name","species_name","code","website","CodeGO2","CodeTRUEL-VASSAL","CodeVIVC","Mere","NumAgrementOfficiel","Pere","synonyms"
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl218","vocabulary:Accession","CABERNET-SAUVIGNON N Cl218","Vitis vinifera subsp. vinifera","218",NA,"111100951",NA,NA,NA,"218",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl219","vocabulary:Accession","CABERNET-SAUVIGNON N Cl219","Vitis vinifera subsp. vinifera","219",NA,"111100981",NA,NA,NA,"219",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl267","vocabulary:Accession","CABERNET-SAUVIGNON N Cl267","Vitis vinifera subsp. vinifera","267",NA,"111100841",NA,NA,NA,"267",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl269","vocabulary:Accession","CABERNET-SAUVIGNON N Cl269","Vitis vinifera subsp. vinifera","269",NA,"111101001",NA,NA,NA,"269",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl336","vocabulary:Accession","CABERNET-SAUVIGNON N Cl336","Vitis vinifera subsp. vinifera","336",NA,"111101801",NA,NA,NA,"336",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl337","vocabulary:Accession","CABERNET-SAUVIGNON N Cl337","Vitis vinifera subsp. vinifera","337",NA,"111101601",NA,NA,NA,"337",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl338","vocabulary:Accession","CABERNET-SAUVIGNON N Cl338","Vitis vinifera subsp. vinifera","338",NA,"111101821",NA,NA,NA,"338",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl339","vocabulary:Accession","CABERNET-SAUVIGNON N Cl339","Vitis vinifera subsp. vinifera","339",NA,"111101831",NA,NA,NA,"339",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl340","vocabulary:Accession","CABERNET-SAUVIGNON N Cl340","Vitis vinifera subsp. vinifera","340",NA,"111101621",NA,NA,NA,"340",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl341","vocabulary:Accession","CABERNET-SAUVIGNON N Cl341","Vitis vinifera subsp. vinifera","341",NA,"111101851",NA,NA,NA,"341",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl410","vocabulary:Accession","CABERNET-SAUVIGNON N Cl410","Vitis vinifera subsp. vinifera","410",NA,"111100911",NA,NA,NA,"410",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl411","vocabulary:Accession","CABERNET-SAUVIGNON N Cl411","Vitis vinifera subsp. vinifera","411",NA,"111100921",NA,NA,NA,"411",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl412","vocabulary:Accession","CABERNET-SAUVIGNON N Cl412","Vitis vinifera subsp. vinifera","412",NA,"111101021",NA,NA,NA,"412",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl685","vocabulary:Accession","CABERNET-SAUVIGNON N Cl685","Vitis vinifera subsp. vinifera","685",NA,"1111015713",NA,NA,NA,"685",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.cabestrel_n","vocabulary:Variety","CABESTREL N","Vitis vinifera subsp. vinifera","3736","https://plantgrape.plantnet-project.org/fr/cepage/cabestrel","4007","3736",NA,NA,NA,NA,"68-12"
"http://sinfonia.vignevin.com/id/germplasm/accession.cabestrel_n_cl1192","vocabulary:Accession","CABESTREL N Cl1192","Vitis vinifera subsp. vinifera","1192",NA,"400700011",NA,NA,NA,"1192",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.calabrese_n","vocabulary:Variety","CALABRESE N","Vitis vinifera subsp. vinifera","1316","https://plantgrape.plantnet-project.org/fr/cepage/calabrese","3077","1316",NA,NA,NA,NA,"NERO D'AVOLA"
"http://sinfonia.vignevin.com/id/germplasm/accession.calabrese_n_cl1205","vocabulary:Accession","CALABRESE N Cl1205","Vitis vinifera subsp. vinifera","1205",NA,"307700021",NA,NA,NA,"1205",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.caladoc_n","vocabulary:Variety","CALADOC N","Vitis vinifera subsp. vinifera","2826","https://plantgrape.plantnet-project.org/fr/cepage/caladoc","1705","2826",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.caladoc_n_cl724","vocabulary:Accession","CALADOC N Cl724","Vitis vinifera subsp. vinifera","724",NA,"170500011",NA,NA,NA,"724",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.camaralet_blanc","vocabulary:Variety","CAMARALET BLANC","Vitis vinifera subsp. vinifera","3672","https://plantgrape.plantnet-project.org/fr/cepage/camaralet","2088","3672",NA,NA,NA,NA,NA
