"uri"	"rdf_type"	"rdf_type_name"	"name"	"species"	"species_name"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_a08"	"vocabulary:Variety"	"Variété"	"3563-P245-A08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_a09"	"vocabulary:Variety"	"Variété"	"3563-P245-A09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_b01"	"vocabulary:Variety"	"Variété"	"3563-P245-B01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_b03"	"vocabulary:Variety"	"Variété"	"3563-P245-B03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_b04"	"vocabulary:Variety"	"Variété"	"3563-P245-B04"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_b07"	"vocabulary:Variety"	"Variété"	"3563-P245-B07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_b09"	"vocabulary:Variety"	"Variété"	"3563-P245-B09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_c05"	"vocabulary:Variety"	"Variété"	"3563-P245-C05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_c06"	"vocabulary:Variety"	"Variété"	"3563-P245-C06"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_c08"	"vocabulary:Variety"	"Variété"	"3563-P245-C08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_c09"	"vocabulary:Variety"	"Variété"	"3563-P245-C09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_d04"	"vocabulary:Variety"	"Variété"	"3563-P245-D04"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_d06"	"vocabulary:Variety"	"Variété"	"3563-P245-D06"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_d08"	"vocabulary:Variety"	"Variété"	"3563-P245-D08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_d10"	"vocabulary:Variety"	"Variété"	"3563-P245-D10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_e01"	"vocabulary:Variety"	"Variété"	"3563-P245-E01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_e02"	"vocabulary:Variety"	"Variété"	"3563-P245-E02"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_e07"	"vocabulary:Variety"	"Variété"	"3563-P245-E07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_e08"	"vocabulary:Variety"	"Variété"	"3563-P245-E08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_f03"	"vocabulary:Variety"	"Variété"	"3563-P245-F03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
