"uri","name","alternative_name","description","datatype","URIgroup","group"
"https://cropontology.org/term/CO_356:1000095","BOTRY_LEAF_OIV_458","Leaf: degree of resistance to Botrytis","Leaf: degree of resistance to Botrytis","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000096","BOTRYL_LEAFLAB_OIV","Leaf: degree of resistance to Botrytis (laboratory analysis)","Leaf: degree of resistance to Botrytis (laboratory analysis)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000097","UN_LEAF_OIV_455","Leaf: degree of resistance to Oidium","Leaf: degree of resistance to Oidium","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000098","UN_LEAFDISK_OIV_455-1","Leaf: degree of resistance to Oidium (leaf disc test)","Leaf: degree of resistance to Oidium (leaf disc test)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000099","PM_LEAF_OIV_452","Leaf: degree of resistance to Plasmopara","Leaf: degree of resistance to Plasmopara","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000100","PM_LEAFDISK_OIV_452-1","Leaf: degree of resistance to Plasmopara (leaf disc test)","Leaf: degree of resistance to Plasmopara (leaf disc test)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000101","MORPHO_OIV_353","Length of internodes","Length of internodes","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000102","BERRY_MAL_meq","Malic acid concentration in the berries (Enzym.","Malic acid concentration in the berries (Enzym.","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000103","MUST_MAL_meq","Must Malic acid concentration","Must Malic acid concentration","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000104","WINE_MAL","Wine Malic acid concentration","Wine Malic acid concentration","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000105","MORPHO_OIV_071","Mature leaf: area of anthocyanin coloration of main veins on lower side of blade","Mature leaf: area of anthocyanin coloration of main veins on lower side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000106","MORPHO_OIV_070","Mature leaf: area of anthocyanin coloration of main veins on upper side of blade","Mature leaf: area of anthocyanin coloration of main veins on upper side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000107","MORPHO_OIV_607","Mature leaf: angle between N1 and N2 (Code Nos OIV 601 and OIV 602) measured at the first ramification","Mature leaf: angle between N1 and N2 (Code Nos OIV 601 and OIV 602) measured at the first ramification","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000108","MORPHO_OIV_608","Mature leaf: angle between N2 and N3 (Code Nos OIV 601 and OIV 602) measured at the first ramification","Mature leaf: angle between N2 and N3 (Code Nos OIV 601 and OIV 602) measured at the first ramification","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000109","MORPHO_OIV_609","Mature leaf: angle between N3 and N4 (Code Nos OIV 601 and OIV 602) measured at the first ramification","Mature leaf: angle between N3 and N4 (Code Nos OIV 601 and OIV 602) measured at the first ramification","http://www.w3.org/2001/XMLSchema#string",NA,NA
